latitude,longitude,Emissions
38.02007,-87.586166,"469,916"
39.854045,-87.462071,"52,388"
39.429143,-87.390375,"301,797"
40.843747,-85.795192,"90,999"
40.352658,-87.375847,"26,761"
38.097728,-87.272049,"163,770"
38.600613,-86.104751,"90,504"
39.863091,-85.006735,"192,449"
40.735273,-85.212974,"81,335"
40.75095,-86.864293,"54,131"
41.136426,-85.501892,"99,661"
41.328528,-94.478164,"21,820"
41.021656,-94.696906,"11,783"
43.274964,-91.382751,"32,622"
40.744296,-92.873061,"30,955"
41.679178,-94.904312,"19,616"
42.092547,-92.05763,"60,335"
42.471541,-92.308033,"273,407"
42.038601,-93.938363,"55,814"
42.780895,-92.327356,"55,385"
42.470328,-91.838666,"45,593"
42.741522,-95.141432,"46,321"
42.734708,-92.780066,"42,535"
42.38617,-94.643683,"26,949"
42.039492,-94.867647,"53,311"
41.333824,-94.933302,"34,280"
41.77236,-91.132611,"46,015"
43.074975,-93.250965,"98,205"
42.742737,-95.633262,"34,679"
43.059741,-92.31721,"33,770"
41.029191,-93.784096,"23,102"
43.081224,-95.149875,"39,657"
42.840985,-91.323576,"40,038"
41.898073,-90.534243,"115,864"
42.043119,-95.38909,"45,245"
41.685321,-94.040707,"164,177"
40.748089,-92.410345,"24,140"
40.736379,-93.78458,"18,149"
